X,Y,Z,State
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
2.281595595,3.726964438,1.603635333,0
2.280772942,3.719933574,1.590935447,0
2.281595595,3.726964438,1.590493711,0
2.282418249,3.725600482,1.590051975,0
2.282418249,3.719933574,1.584255198,0
2.282418249,3.719928994,1.583479205,0
2.280772942,3.719928994,1.582317563,4
2.273347123,3.719928994,1.581030907,4
2.273347123,3.719928994,1.577998134,4
2.269956459,3.725600482,1.570607785,4
2.269956459,3.719928994,1.563974021,4
2.269956459,3.725600482,1.559609932,4
2.269956459,3.729358785,1.557088027,4
2.269956459,3.729358785,1.424165193,4
2.260563317,3.729358785,1.416194736,4
2.260563317,3.729358785,1.415973673,4
2.260563317,3.73967782,1.407333534,4
2.260563317,3.73967782,1.407333534,4
2.260563317,3.73967782,1.407333534,4
2.254544837,3.75,1.407333534,4
2.252321823,3.75,1.28945585,4
2.252321823,3.76312088,1.28945585,4
2.252321823,3.776237763,1.28945585,4
2.25343333,3.777416813,1.272953172,4
2.258604532,3.784448916,1.254812118,4
2.263714682,3.801062526,1.254812118,4
2.262664227,3.811823085,1.256450494,4
2.262664227,3.822054976,1.28945585,4
2.262664227,3.828585461,1.294237342,4
2.262664227,3.828585461,1.294237342,4
2.262664227,3.828585461,1.28945585,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
